DOI
10.2110/jsr.2020.020
10.1016/j.icarus.2020.113979
10.1089/ast.2020.2228
10.1038/s41598-020-71016-8
10.1016/j.coastaleng.2019.103623
10.5194/tc-14-3215-2020
10.1029/2019ef001470
10.1016/j.jag.2020.102067
10.1029/2019jf005206
